id;nome;sigla;regiao_id;IBGE;TESTE;PIBpc;POPULACAO
1;Acre;AC;3;12;19;11020;733559
2;Alagoas;AL;4;27;20;8490;3120494
3;Amazonas;AM;3;13;17;17060;3483985
4;Amapa;AP;3;16;13;12250;669526
5;Bahia;BA;4;29;43;10600;14016906
6;Ceara;CE;4;23;35;9640;8452381
7;Distrito Federal;DF;5;53;19;58910;2570160
8;Espirito Santo;ES;2;32;23;25750;3514952
9;Goias;GO;5;52;29;17110;6003788
10;Maranhao;MA;4;21;30;7340;6574789
11;Minas Gerais;MG;2;31;55;18300;19597330
12;Mato Grosso do Sul;MS;5;50;19;18580;2449024
13;Mato Grosso;MT;5;51;18;21710;3035122
14;Para;PA;3;15;30;10740;7581051
15;Paraiba;PB;4;25;27;8740;3766528
16;Pernambuco;PE;4;26;35;11010;8796448
17;Piaui;PI;4;22;23;7330;3110292
18;Parana;PR;1;41;43;21290;10444526
19;Rio de Janeiro;RJ;2;33;51;26830;15989929
20;Rio Grande do Norte;RN;4;24;17;10550;3168027
21;Rondonia;RO;3;11;17;16510;1562409
22;Roraima;RR;3;14;13;14120;450479
23;Rio Grande do Sul;RS;1;43;44;22960;10693929
24;Santa Catarina;SC;1;42;33;25020;6248436
25;Sergipe;SE;4;28;18;11720;2068017
26;Sao Paulo;SP;2;35;73;30340;41262199
27;Tocantins;TO;3;17;18;12050;1383445
